2018-07-24,TqR154997106,西安,4.5,好看的彭于晏嘻嘻
2018-07-24,绿色玫瑰话,杭州,3,看得我总感觉哪里不对，但是又说不出来，总体还是可以的，可能是衔接的细节吧，有点太个体突出了
2018-07-24,林春贺01,北京,5,666许晴真的太那啥了
2018-07-24,mqB236773909,自贡,5,还是可以，不错
2018-07-24,AAA死神,慈溪,5,好，，，，，，，
2018-07-24,shenlinshenlin,长沙,5,还好吧吧爸爸吧
2018-07-24,够钟98.,神木,5,彭于晏真的太帅了！为什么会有这么优秀的男人！
2018-07-24,VIa967436113,太原,5,电影很好看，跌宕起伏，情节激动，铺陈完美，完美诠释了民国时的一场复仇和中国人民对外来侵略的仇恨和强烈的保家卫国情绪
2018-07-24,小白9292,常州,1.5,不行，剧情太乱
2018-07-24,YGP542934298,,2.5,电影情节老套，故事陈旧！人物设定没有针对性，唯一的亮点可能就是台词的幽默风趣了吧。但是，电影的本质是教育和意义，能打动人的其实就是贴近老百姓，接地气的东西，这两个都没有！而且，有的故事设计在侮辱我们观影人的智商，请问，子弹能摇个头就能躲得掉吗？
2018-07-24,Fxh567226991,武威,3.5,姜文的电影有时候真的是需要费脑子才看的懂 只懂个大概就到头了 他的表达方式比较跳跃 廖凡的演技依旧的好 喜欢相同影片的 推荐看下廖凡拍的《师父》
2018-07-24,Ykn258562977,普兰店,2.5,这电影意义在哪里？w
2018-07-24,GWK639458298,璧山,2,您好，您们工人员太慢，晚了几分刚才到！
2018-07-24,HUHAHA666,长沙,5,可以。。。。
2018-07-24,淺Zui,诸暨,2.5,不值一看，浪费了彭于晏
2018-07-24,绿色玫瑰话,杭州,3,看得我总感觉哪里不对，但是又说不出来，总体还是可以的，可能是衔接的细节吧，有点太个体突出了
2018-07-24,林春贺01,北京,5,666许晴真的太那啥了
2018-07-24,mqB236773909,自贡,5,还是可以，不错
2018-07-24,AAA死神,慈溪,5,好，，，，，，，
2018-07-24,shenlinshenlin,长沙,5,还好吧吧爸爸吧
2018-07-24,够钟98.,神木,5,彭于晏真的太帅了！为什么会有这么优秀的男人！
2018-07-24,VIa967436113,太原,5,电影很好看，跌宕起伏，情节激动，铺陈完美，完美诠释了民国时的一场复仇和中国人民对外来侵略的仇恨和强烈的保家卫国情绪
2018-07-24,小白9292,常州,1.5,不行，剧情太乱
2018-07-24,YGP542934298,,2.5,电影情节老套，故事陈旧！人物设定没有针对性，唯一的亮点可能就是台词的幽默风趣了吧。但是，电影的本质是教育和意义，能打动人的其实就是贴近老百姓，接地气的东西，这两个都没有！而且，有的故事设计在侮辱我们观影人的智商，请问，子弹能摇个头就能躲得掉吗？
2018-07-24,Fxh567226991,武威,3.5,姜文的电影有时候真的是需要费脑子才看的懂 只懂个大概就到头了 他的表达方式比较跳跃 廖凡的演技依旧的好 喜欢相同影片的 推荐看下廖凡拍的《师父》
2018-07-24,Ykn258562977,普兰店,2.5,这电影意义在哪里？w
2018-07-24,GWK639458298,璧山,2,您好，您们工人员太慢，晚了几分刚才到！
2018-07-24,HUHAHA666,长沙,5,可以。。。。
2018-07-24,淺Zui,诸暨,2.5,不值一看，浪费了彭于晏
2018-07-24,FLa83554023,太原,5,好看好看好看
2018-07-24,林春贺01,北京,5,666许晴真的太那啥了
